customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
6,121,dantkanti,2024-01-01,1,100,8,800,cash
14,121,quaker oats,2024-01-01,2,212,8,1696,UPI
10,123,maida,2024-01-01,7,20,2,40,UPI
14,121,sugar,2024-01-01,2,50,3,150,cash
15,123,sugar,2024-01-01,9,50,10,500,cash
3,123,quaker oats,2024-01-01,8,212,3,636,cash
9,123,dantkanti,2024-01-01,8,100,3,300,cash
14,123,sugar,2024-01-01,7,50,10,500,cash
5,122,dantkanti,2024-01-01,4,100,4,400,cash
13,123,refined oil,2024-01-01,7,110,1,110,UPI
6,123,refined oil,2024-01-01,9,110,10,1100,cash
17,122,maida,2024-01-01,4,20,10,200,cash
7,122,quaker oats,2024-01-01,5,212,10,2120,UPI
16,122,refined oil,2024-01-01,6,110,5,550,cash
20,123,dantkanti,2024-01-01,7,100,10,1000,cash
12,121,refined oil,2024-01-01,3,110,5,550,cash
17,121,maida,2024-01-01,1,20,3,60,UPI
17,123,refined oil,2024-01-01,9,110,9,990,UPI
6,122,maida,2024-01-01,6,20,3,60,UPI
5,121,besan,2024-01-01,2,52,10,520,UPI
1,123,dantkanti,2024-01-01,9,100,1,100,UPI
13,121,nutrella,2024-01-01,3,40,8,320,cash
13,123,nutrella,2024-01-01,7,40,2,80,cash
4,122,quaker oats,2024-01-01,5,212,6,1272,cash
3,121,sugar,2024-01-01,2,50,8,400,cash
20,121,nutrella,2024-01-01,3,40,7,280,UPI
17,122,maida,2024-01-01,4,20,6,120,UPI
20,123,quaker oats,2024-01-01,8,212,9,1908,UPI
2,122,clinic plus,2024-01-01,6,1.5,7,10.5,UPI
1,123,nutrella,2024-01-01,7,40,3,120,UPI
4,122,sugar,2024-01-01,4,50,3,150,UPI
8,123,besan,2024-01-01,7,52,2,104,UPI
5,123,dantkanti,2024-01-01,7,100,7,700,UPI
2,122,clinic plus,2024-01-01,4,1.5,4,6.0,UPI
2,121,clinic plus,2024-01-01,3,1.5,6,9.0,cash
3,121,sugar,2024-01-01,3,50,1,50,cash
17,122,quaker oats,2024-01-01,4,212,1,212,cash
9,121,besan,2024-01-01,3,52,6,312,cash
17,121,sugar,2024-01-01,3,50,9,450,UPI
17,123,besan,2024-01-01,8,52,1,52,UPI
20,122,quaker oats,2024-01-01,5,212,8,1696,UPI
1,121,sugar,2024-01-01,1,50,6,300,cash
4,121,maida,2024-01-01,1,20,6,120,cash
4,123,dantkanti,2024-01-01,8,100,2,200,UPI
9,121,sugar,2024-01-01,3,50,6,300,UPI
14,122,refined oil,2024-01-01,4,110,5,550,UPI
9,122,refined oil,2024-01-01,5,110,8,880,UPI
5,123,besan,2024-01-01,8,52,5,260,UPI
11,122,maida,2024-01-01,6,20,6,120,UPI
13,123,dantkanti,2024-01-01,9,100,4,400,cash
14,121,maida,2024-01-01,3,20,3,60,cash
9,122,maida,2024-01-01,6,20,3,60,UPI
6,123,dantkanti,2024-01-01,7,100,9,900,UPI
13,121,dantkanti,2024-01-01,3,100,6,600,UPI
1,123,quaker oats,2024-01-01,9,212,8,1696,cash
17,121,refined oil,2024-01-01,3,110,4,440,UPI
4,121,refined oil,2024-01-01,3,110,3,330,cash
1,121,clinic plus,2024-01-01,3,1.5,8,12.0,cash
13,121,nutrella,2024-01-01,2,40,7,280,cash
17,123,refined oil,2024-01-01,7,110,8,880,UPI
3,122,clinic plus,2024-01-01,5,1.5,5,7.5,UPI
1,123,maida,2024-01-01,9,20,3,60,UPI
10,122,refined oil,2024-01-01,6,110,4,440,UPI
17,123,sugar,2024-01-01,7,50,1,50,UPI
13,122,maida,2024-01-01,4,20,5,100,UPI
11,122,sugar,2024-01-01,4,50,4,200,cash
11,123,nutrella,2024-01-01,8,40,8,320,cash
15,123,refined oil,2024-01-01,8,110,6,660,UPI
8,121,refined oil,2024-01-01,3,110,10,1100,cash
8,123,nutrella,2024-01-01,9,40,1,40,cash
16,121,dantkanti,2024-01-01,3,100,7,700,cash
20,123,maida,2024-01-01,7,20,5,100,cash
1,122,sugar,2024-01-01,6,50,10,500,UPI
1,121,sugar,2024-01-01,2,50,4,200,UPI
18,123,clinic plus,2024-01-01,9,1.5,2,3.0,cash
19,123,nutrella,2024-01-01,7,40,3,120,cash
13,122,nutrella,2024-01-01,4,40,1,40,cash
17,122,clinic plus,2024-01-01,4,1.5,6,9.0,cash
15,122,maida,2024-01-01,4,20,1,20,UPI
10,122,nutrella,2024-01-01,4,40,6,240,UPI
7,122,maida,2024-01-01,6,20,9,180,UPI
11,123,sugar,2024-01-01,8,50,6,300,UPI
13,123,maida,2024-01-01,8,20,8,160,UPI
